No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
0	2	0	0.05	0.06	0.011928129482900696	0.3	0.10435543077397609	0.09
1	4	0	0.05	0.05	0.003976043160966899	0.375	0.03478514359132537	0.1
2	4	1	0.15	0.15	0.0030840586747561075	0.125	0.03363626757308587	0.04
3	2	1	0.25	0.26	0.011928129482900696	0.075	0.10435543077397609	0.03
4	4	2	0.25	0.25	0.003976043160966899	0.375	0.03478514359132537	0.1
5	3	0	0.35	0.35	0.007952086321933798	0.2	0.06957028718265074	0.04
6	4	3	0.35	0.36	0.003976043160966899	0.25	0.03478514359132537	0.08
7	2	2	0.45	0.46	0.011928129482900696	0.15	0.10435543077397609	0.05
8	4	4	0.45	0.45	0.003976043160966899	0.25	0.03478514359132537	0.07
9	2	3	0.55	0.56	0.011928129482900696	0.075	0.10435543077397609	0.03
10	4	5	0.55	0.55	0.003976043160966899	0.125	0.03478514359132537	0.04
11	4	6	0.65	0.65	0.003976043160966899	0.25	0.03478514359132537	0.07
12	2	4	0.65	0.66	0.011928129482900696	0.225	0.10435543077397609	0.07
13	2	5	0.75	0.76	0.011928129482900696	0.15	0.10435543077397609	0.05
14	3	1	0.8	0.8	0.009732567083325264	0.1	0.07186354640332296	0.03
15	0	0	0.8	0.82	0.024331417708313163	0.1	0.17965886600830738	0.05
16	4	7	0.75	0.75	0.003976043160966899	0.5	0.03478514359132537	0.13
17	2	6	0.8	0.81	0.014598850624987897	0.3	0.10779531960498442	0.09
18	4	8	0.9	0.9	0.0030840586747561075	0.5	0.03363626757308587	0.13
19	4	9	0.95	0.95	0.0030840586747561075	0.375	0.03363626757308587	0.1
20	4	11	1.05	1.05	0.0030840586747561075	0.25	0.03363626757308587	0.07
21	0	1	1.1	1.12	0.02877795907585229	0.025	0.18538601128969778	0.02
22	4	10	1.0	1.0	0.0030840586747561075	0.5	0.03363626757308587	0.13
23	1	0	1.1	1.13	0.02302236726068183	0.15	0.1483088090317582	0.07
24	4	12	1.1	1.1	0.005755591815170457	0.375	0.03707720225793955	0.1
25	3	2	1.1	1.11	0.011511183630340914	0.4	0.0741544045158791	0.11
26	3	3	1.15	1.15	0.006168117349512215	0.4	0.06727253514617174	0.1
27	4	14	1.25	1.25	0.0030840586747561075	0.125	0.03363626757308587	0.04
28	4	13	1.2	1.2	0.0030840586747561075	0.5	0.03363626757308587	0.13
29	1	1	1.35	1.36	0.01233623469902443	0.1	0.13454507029234347	0.04
30	4	15	1.3	1.3	0.0030840586747561075	0.375	0.03363626757308587	0.1
31	2	7	1.45	1.46	0.011928129482900696	0.075	0.10435543077397609	0.03
32	4	16	1.45	1.45	0.003976043160966899	0.25	0.03478514359132537	0.07
33	4	17	1.55	1.55	0.003976043160966899	0.125	0.03478514359132537	0.04
34	2	8	1.55	1.56	0.011928129482900696	0.225	0.10435543077397609	0.07
35	4	18	1.65	1.65	0.003976043160966899	0.125	0.03478514359132537	0.04
36	2	9	1.65	1.66	0.011928129482900696	0.225	0.10435543077397609	0.07
37	4	19	1.75	1.75	0.003976043160966899	0.125	0.03478514359132537	0.04
38	2	10	1.75	1.76	0.011928129482900696	0.15	0.10435543077397609	0.05
39	4	20	1.85	1.85	0.0030840586747561075	0.25	0.03363626757308587	0.07
40	4	21	1.9	1.9	0.0030840586747561075	0.5	0.03363626757308587	0.13
41	4	22	2.0	2.0	0.0030840586747561075	0.5	0.03363626757308587	0.13
42	4	23	2.1	2.1	0.0030840586747561075	0.25	0.03363626757308587	0.07
43	2	11	2.2	2.21	0.011928129482900696	0.225	0.10435543077397609	0.07
44	4	24	2.2	2.2	0.003976043160966899	0.5	0.03478514359132537	0.13
45	4	25	2.3	2.3	0.0030840586747561075	0.375	0.03363626757308587	0.1
46	3	4	2.4	2.4	0.007952086321933798	0.4	0.06957028718265074	0.09
47	4	26	2.4	2.41	0.003976043160966899	0.375	0.03478514359132537	0.11
48	4	27	2.5	2.5	0.0030840586747561075	0.25	0.03363626757308587	0.07
49	2	12	2.6	2.61	0.011928129482900696	0.225	0.10435543077397609	0.07
50	4	28	2.6	2.6	0.003976043160966899	0.375	0.03478514359132537	0.1
51	4	29	2.7	2.7	0.0030840586747561075	0.375	0.03363626757308587	0.1
52	3	5	2.8	2.8	0.007952086321933798	0.1	0.06957028718265074	0.02
53	4	30	2.8	2.81	0.003976043160966899	0.25	0.03478514359132537	0.08
54	0	2	2.9	2.92	0.02433141770831316	0.075	0.17965886600830738	0.04
55	4	31	2.9	2.91	0.004866283541662631	0.25	0.03593177320166147	0.08
56	3	6	2.9	2.9	0.009732567083325263	0.4	0.07186354640332294	0.09
57	4	33	3.05	3.05	0.003084058674756107	0.125	0.03363626757308587	0.04
58	4	32	3.0	3.0	0.003084058674756107	0.5	0.03363626757308587	0.13
59	4	34	3.1	3.1	0.003084058674756107	0.375	0.03363626757308587	0.1
60	3	7	3.2	3.2	0.007952086321933796	0.2	0.06957028718265074	0.04
61	4	35	3.2	3.21	0.003976043160966898	0.25	0.03478514359132537	0.08
62	1	2	3.3	3.32	0.019465134166650522	0.05	0.14372709280664586	0.04
63	3	8	3.3	3.3	0.009732567083325261	0.4	0.07186354640332293	0.09
64	4	36	3.3	3.31	0.0048662835416626304	0.5	0.035931773201661465	0.13
65	4	37	3.4	3.4	0.003084058674756107	0.25	0.03363626757308587	0.07
