,precision,recall,f1-score,support
Analysis,0.011030679076180628,0.047267355982274745,0.017887087758524316,677.0
Backdoor,0.059983221476510064,0.7358490566037735,0.11092436974789915,583.0
DoS,0.3385915492957747,0.14697970163854243,0.20497953615279674,4089.0
Exploits,0.8087103924892424,0.5571325907294287,0.6597521408435721,11132.0
Fuzzers,0.24560549844899945,0.6661167931375783,0.3588854819357419,6062.0
Generic,1.0,0.9599385300196068,0.9795598334504948,18871.0
Normal,0.9976359338061466,0.5816756756756757,0.7348778447407509,37000.0
Reconnaissance,0.8428368794326241,0.8498283752860412,0.846318188292266,3496.0
Shellcode,0.13396778916544655,0.9682539682539683,0.23536977491961414,378.0
Worms,0.08463251670378619,0.8636363636363636,0.15415821501014199,44.0
accuracy,0.6596948938444347,0.6596948938444347,0.6596948938444347,0.6596948938444347
macro avg,0.45229944598947114,0.6376678410963252,0.4302712472851802,82332.0
weighted avg,0.858752543240505,0.6596948938444347,0.7186160837556641,82332.0
