,precision,recall,f1-score,support
Analysis,0.08894044856921887,0.3397341211225997,0.14097456328532026,677.0
Backdoor,0.04269449715370019,0.4631217838765009,0.07818155494425945,583.0
DoS,0.5369018653690186,0.16189777451699683,0.24877865464111237,4089.0
Exploits,0.7695128339444736,0.6598095580309019,0.7104512259999033,11132.0
Fuzzers,0.2627228292121909,0.6029363246453315,0.3659757684990488,6062.0
Generic,0.9979321978560157,0.9718085951989825,0.9846971649484536,18871.0
Normal,0.9686631382553402,0.6875675675675675,0.8042615746961099,37000.0
Reconnaissance,0.9132522407170295,0.8160755148741419,0.8619335347432024,3496.0
Shellcode,0.34230355220667386,0.8412698412698413,0.486610558530987,378.0
Worms,0.6666666666666666,0.5909090909090909,0.6265060240963856,44.0
accuracy,0.718286935820823,0.718286935820823,0.718286935820823,0.718286935820823
macro avg,0.5589590269950329,0.6135130172011954,0.5308370624384783,82332.0
weighted avg,0.8558434933193985,0.718286935820823,0.7633761703629434,82332.0
