,precision,recall,f1-score,support
Analysis,0.0004051863857374392,0.0014771048744460858,0.0006359300476947536,677.0
Backdoor,0.05113996200126662,0.5540308747855918,0.09363675895057255,583.0
DoS,0.32107496463932106,0.22205918317437026,0.2625415642619633,4089.0
Exploits,0.8534774891076328,0.47511678045274885,0.6104218362282878,11132.0
Fuzzers,0.25882352941176473,0.7367205542725174,0.38306814770339237,6062.0
Generic,0.9975233902036323,0.9604684436436861,0.9786452849545099,18871.0
Normal,0.9977473335785215,0.5865675675675676,0.7388003812636166,37000.0
Reconnaissance,0.6195746527777778,0.8166475972540046,0.7045903257650543,3496.0
Shellcode,0.1404786680541103,0.7142857142857143,0.23478260869565218,378.0
Worms,0.0428921568627451,0.7954545454545454,0.08139534883720931,44.0
accuracy,0.6555774182577856,0.6555774182577856,0.6555774182577856,0.6555774182577856
macro avg,0.428313733302251,0.5862828365765193,0.40885181867079534,82332.0
weighted avg,0.8547685043477131,0.6555774182577856,0.7118147801959105,82332.0
