,precision,recall,f1-score,support
Analysis,0.00641025641025641,0.025110782865583457,0.01021327726043857,677.0
Backdoor,0.05786855197695732,0.758147512864494,0.10752949762802579,583.0
DoS,0.3763621123218776,0.10980679872829542,0.17001135933358577,4089.0
Exploits,0.8467227378190255,0.5245238950772547,0.6477701353450188,11132.0
Fuzzers,0.2535888005694626,0.7052128010557571,0.3730366492146597,6062.0
Generic,0.9996147707886193,0.9625351067775952,0.9807245829058906,18871.0
Normal,0.9972259466457072,0.582945945945946,0.7357792218867796,37000.0
Reconnaissance,0.7770066385033193,0.7365560640732265,0.7562408223201175,3496.0
Shellcode,0.14328873543375054,0.8783068783068783,0.24638218923933208,378.0
Worms,0.021634615384615384,0.8181818181818182,0.04215456674473068,44.0
accuracy,0.6522129913035029,0.6522129913035029,0.6522129913035029,0.6522129913035029
macro avg,0.447972316585359,0.6101327603876848,0.40698423018785784,82332.0
weighted avg,0.8632441244212653,0.6522129913035029,0.7130519827705604,82332.0
