,precision,recall,f1-score,support
Analysis,0.06378959604766056,0.6484490398818316,0.1161529302817833,677.0
Backdoor,0.02328159645232816,0.10806174957118353,0.038309516570386136,583.0
DoS,0.4115197779319917,0.1450232330643189,0.21446654611211574,4089.0
Exploits,0.805274506551667,0.4361300754581387,0.5658178427830546,11132.0
Fuzzers,0.2717786778334592,0.6530847904981855,0.3838285908187503,6062.0
Generic,0.9959420925641588,0.9624291240527794,0.9788988600533592,18871.0
Normal,0.9746454466687947,0.5776486486486486,0.72538139116564,37000.0
Reconnaissance,0.21363636363636362,0.17477116704805493,0.19225928256765262,3496.0
Shellcode,0.05591318741953283,0.8042328042328042,0.10455717970765262,378.0
Worms,0.016035634743875277,0.8181818181818182,0.03145478374836173,44.0
accuracy,0.6120949327114609,0.6120949327114609,0.6120949327114609,0.6120949327114609
macro avg,0.38318168798498314,0.5328012450637764,0.33511269238087565,82332.0
weighted avg,0.8256366842388033,0.6120949327114609,0.6756587204232197,82332.0
