,precision,recall,f1-score,support
Analysis,0.013054830287206266,0.029542097488921712,0.01810774105930285,677.0
Backdoor,0.03503595795685045,0.3259005145797599,0.06327006327006326,583.0
DoS,0.30542579949694576,0.2078747860112497,0.24738067520372525,4089.0
Exploits,0.7610290209418518,0.643100970176069,0.6971128097765227,11132.0
Fuzzers,0.26790945406125166,0.6638073243154075,0.3817474622901053,6062.0
Generic,0.9997799900995544,0.9632239944888983,0.9811616107092734,18871.0
Normal,0.982481286829113,0.666918918918919,0.7945134908880159,37000.0
Reconnaissance,0.8570159857904085,0.8280892448512586,0.8423043351760257,3496.0
Shellcode,0.22544951590594745,0.8624338624338624,0.3574561403508772,378.0
Worms,0.45652173913043476,0.4772727272727273,0.4666666666666667,44.0
accuracy,0.7085701792741583,0.7085701792741583,0.7085701792741583,0.7085701792741583
macro avg,0.49037035804995643,0.5668164440537073,0.48497209953905784,82332.0
weighted avg,0.846500545536166,0.7085701792741583,0.754845570519836,82332.0
